,Year,Total Assets,Distress Barrier,LCL 1,LCL 2,Mean LCL,Std LCL
0,2002,73.535346705,16.622163564,51.32951065875604,51.32951065875604,51.32951065875681,0.0
0,2003,78.235030416,17.776465778,45.57717713754919,45.57717713754919,45.57717713754904,0.0
0,2004,87.355506463,17.833508474,12.46105799238333,12.46105799238333,12.461057992383473,0.0
0,2005,106.0,16.877445036,142.2614831825303,142.2614831825303,142.26148318252964,0.0
0,2006,115.0,18.51738684,138.53855606406046,138.53855606406046,138.53855606406157,0.0
0,2007,114.0,21.44206869,134.7502526187024,134.7502526187024,134.75025261870334,0.0
0,2008,121.0,23.291326752,72.30034031880494,72.30034031880494,72.30034031880481,0.0
0,2009,117.0,24.542066485,128.40115033076736,128.40115033076736,128.401150330766,0.0
0,2010,116.0,28.76663109,164.67370975546953,164.67370975546953,164.67370975546592,0.0
0,2011,111.0,29.199892732,142.61326914788128,142.61326914788128,142.61326914788003,0.0
0,2012,107.0,30.006391296,126.08043656822724,126.08043656822724,126.08043656822844,0.0
0,2013,116.0,29.813639417,150.18754576389864,150.18754576389864,150.18754576389807,0.0
0,2014,140.0,32.344507489,241.19205412946005,241.19205412946005,241.19205412945507,0.0
0,2015,155.0,34.364836658,238.10006213039694,238.10006213039694,238.10006213039415,0.0
0,2016,162.0,37.469268824,91.26861248623331,91.26861248623331,91.26861248623229,0.0
0,2017,208.0,46.353699857,658.7353924977366,658.7353924977366,658.7353924977407,0.0
0,2018,209.0,50.0179327,647.2474134250085,647.2474134250085,647.2474134250128,0.0
0,2019,189.0,54.655855964,626.2330208906998,626.2330208906998,626.2330208907027,0.0
0,2020,204.0,57.011267289,591.3220961952654,591.3220961952654,591.3220961952715,0.0
0,2021,234.0,64.287512856,624.3966504113073,624.3966504113073,624.3966504113139,0.0
0,2022,224.0,69.763695,646.0620333129772,646.0620333129772,646.0620333129764,0.0
